127.0.0.1, 2018-08-11 13:34:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.019000
127.0.0.1, 2018-08-11 13:34:39, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.899000
127.0.0.1, 2018-08-11 13:34:50, GET, /find_my_pill, HTTP/1.1, 200, 0.295000
127.0.0.1, 2018-08-11 13:34:50, GET, /find_my_pill/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-11 13:34:50, GET, /find_my_pill/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-08-11 13:34:50, GET, /find_my_pill/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-08-11 13:34:50, GET, /find_my_pill/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-08-11 13:34:50, GET, /find_my_pill/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-11 13:34:50, GET, /find_my_pill/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-11 13:34:50, GET, /find_my_pill/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:34:50, GET, /find_my_pill/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:34:50, GET, /find_my_pill/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:34:52, GET, /find_my_pill/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:35:00, GET, /find_my_pill/home_page, HTTP/1.1, 404, 0.181000
127.0.0.1, 2018-08-11 13:35:00, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-08-11 13:35:14, POST, /admin/default/create_file, HTTP/1.1, 303, 0.029000
127.0.0.1, 2018-08-11 13:35:14, GET, /admin/default/design/find_my_pill, HTTP/1.1, 200, 0.059000
127.0.0.1, 2018-08-11 13:35:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-08-11 13:35:18, GET, /admin/default/peek/find_my_pill/controllers/home_page.py, HTTP/1.1, 200, 0.049000
127.0.0.1, 2018-08-11 13:35:19, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-08-11 13:35:20, GET, /admin/default/edit/find_my_pill/controllers/home_page.py, HTTP/1.1, 200, 0.018000
127.0.0.1, 2018-08-11 13:35:20, GET, /admin/default/edit/find_my_pill/controllers/home_page.py, HTTP/1.1, 200, 0.017000
127.0.0.1, 2018-08-11 13:35:20, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.032000
127.0.0.1, 2018-08-11 13:35:20, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.042000
127.0.0.1, 2018-08-11 13:35:21, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-08-11 13:35:21, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.334000
127.0.0.1, 2018-08-11 13:35:21, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.302000
127.0.0.1, 2018-08-11 13:35:22, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 1.193000
127.0.0.1, 2018-08-11 13:35:23, GET, /find_my_pill/home_page, HTTP/1.1, 200, 0.061000
127.0.0.1, 2018-08-11 13:35:38, GET, /admin/default/edit/find_my_pill/views/home_page.html, HTTP/1.1, 200, 0.042000
127.0.0.1, 2018-08-11 13:35:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.046000
127.0.0.1, 2018-08-11 13:35:39, GET, /admin/default/edit/find_my_pill/views/home_page.html, HTTP/1.1, 200, 0.095000
127.0.0.1, 2018-08-11 13:35:39, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.086000
127.0.0.1, 2018-08-11 13:35:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.101000
127.0.0.1, 2018-08-11 13:35:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-08-11 13:35:40, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.444000
127.0.0.1, 2018-08-11 13:35:40, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.197000
127.0.0.1, 2018-08-11 13:35:40, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 1.347000
127.0.0.1, 2018-08-11 13:35:40, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.118000
127.0.0.1, 2018-08-11 13:35:54, GET, /find_my_pill/home_page, HTTP/1.1, 200, 0.295000
127.0.0.1, 2018-08-11 13:35:55, GET, /find_my_pill/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-11 13:35:57, GET, /find_my_pill/home_page, HTTP/1.1, 200, 0.057000
127.0.0.1, 2018-08-11 13:35:58, GET, /find_my_pill/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:36:08, POST, /admin/default/edit/find_my_pill/views/home_page.html, HTTP/1.1, 200, 0.031000
127.0.0.1, 2018-08-11 13:36:11, GET, /find_my_pill/home_page, HTTP/1.1, 200, 0.065000
127.0.0.1, 2018-08-11 13:36:13, GET, /find_my_pill/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-11 13:36:15, GET, /find_my_pill/home_page, HTTP/1.1, 200, 0.239000
127.0.0.1, 2018-08-11 13:36:15, GET, /find_my_pill/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-11 13:36:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-08-11 13:36:21, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.057000
127.0.0.1, 2018-08-11 13:36:21, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.154000
127.0.0.1, 2018-08-11 13:36:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.044000
127.0.0.1, 2018-08-11 13:36:39, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.906000
127.0.0.1, 2018-08-11 13:36:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.043000
127.0.0.1, 2018-08-11 13:36:40, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.152000
127.0.0.1, 2018-08-11 13:36:46, GET, /find_my_pill/home_page, HTTP/1.1, 200, 0.054000
127.0.0.1, 2018-08-11 13:36:48, GET, /find_my_pill/static/images/favicon.ico, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-08-11 13:37:21, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.028000
127.0.0.1, 2018-08-11 13:37:21, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.134000
127.0.0.1, 2018-08-11 13:37:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.046000
127.0.0.1, 2018-08-11 13:37:39, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.153000
127.0.0.1, 2018-08-11 13:37:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.046000
127.0.0.1, 2018-08-11 13:37:40, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.157000
127.0.0.1, 2018-08-11 13:38:02, GET, /admin/default/index, HTTP/1.1, 303, 0.008000
127.0.0.1, 2018-08-11 13:38:02, GET, /admin/default/site, HTTP/1.1, 200, 0.064000
127.0.0.1, 2018-08-11 13:38:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-08-11 13:38:21, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.045000
